"SLB","Schlumberger","79,345","bmo","0.71","0.72","+0.01 ","+1.41% ","-2.18%","", 21/07/2023
"AXP","American Express","107,987","bmo","2.80","2.89","+0.09 ","+3.21% ","-3.89%","", 21/07/2023
"RF","Regions Financial","15,408","bmo","0.60","0.59","-0.01 ","-1.67% ","-3.10%","", 21/07/2023
"HBAN","Huntington Bancshares","14,320","bmo","0.34","0.35","+0.01 ","+2.94% ","-0.67%","", 21/07/2023
"CMA","Comerica","5,218","bmo","1.89","2.01","+0.12 ","+6.35% ","-4.12%","", 21/07/2023
"IPG","The Interpublic Group of Companies","10,951","bmo","0.60","0.74","+0.14 ","+23.33% ","-13.32%","", 21/07/2023
"ROP","Roper Technologies","52,232","bmo","4.00","4.12","+0.12 ","+3.00% ","3.69%","", 21/07/2023
"AN","AutoNation","6,243","bmo","5.83","6.29","+0.46 ","+7.89% ","-12.33%","", 21/07/2023
"NHYDY","Norsk Hydro ASA","11,596","bmo","0.14","0.17","+0.03 ","+21.43% ","-2.83%","", 21/07/2023
"SEOAY","Stora Enso Oyj","9,487","bmo","0.19","-0.29","-0.48 ","-252.63% ","-10.33%","", 21/07/2023
"ALV","Autoliv","8,007","bmo","1.45","1.93","+0.48 ","+33.10% ","10.20%","", 21/07/2023
"SSAAY","SSAB","5,530","bmo","--","0.18","--","--","-9.26%","", 21/07/2023
"SXT","Sensient Technologies","2,386","bmo","--","0.81","--","--","-5.74%","", 21/07/2023
"LKFN","Lakeland Financial","1,192","--","0.91","0.57","-0.34 ","-37.36% ","-0.85%","", 21/07/2023
"RBCAA","Republic Bancorp","842","bmo","1.29","1.00","-0.29 ","-22.48% ","0.00%","", 21/07/2023
"WRLD","World Acceptance","764","bmo","1.13","1.62","+0.49 ","+43.36% ","10.32%","", 21/07/2023
"TMP","Tompkins Financial","719","--","1.02","0.59","-0.43 ","-42.16% ","-1.62%","", 21/07/2023
"MCBS","MetroCity Bankshares","494","--","--","0.51","--","--","0.15%","", 21/07/2023
"JMSB","John Marshall Bancorp, Inc.","253","amc","--","0.32","--","--","--","", 21/07/2023
"OVLY","Oak Valley Bancorp CA","208","bmo","--","1.02","--","--","2.36%","", 21/07/2023
"PBAM","Private Bancorp of America","180","bmo","2.07","1.43","-0.64 ","-30.92% ","10.17%","", 21/07/2023
"ISBA","Isabella Bank","154","bmo","0.66","0.61","-0.05 ","-7.58% ","-1.98%","", 21/07/2023
"LCNB","LCNB","152","bmo","0.36","0.45","+0.09 ","+25.00% ","-0.06%","", 21/07/2023
"ACU","Acme United","99","bmo","--","0.96","--","--","4.88%","", 21/07/2023
"BHWB","Blackhawk Bancorp","95","bmo","--","1.10","--","--","0.77%","", 21/07/2023
"BOTJ","Bank of the James Financial Group","48","--","--","0.56","--","--","3.97%","", 21/07/2023
"WRTBY","Wartsila","NA","bmo","--","0.01","--","--","3.18%","", 21/07/2023
"ABIO","ARCA biopharma","NA","amc","--","-0.10","--","--","--","", 21/07/2023
"SARTF","SARTORIUS","NA","bmo","1.78","1.37","-0.41 ","-23.03% ","9.14%","", 21/07/2023
"DNKEY","DANSKE BANK","NA","bmo","--","0.42","--","--","0.57%","", 21/07/2023
"LOIMF","Loomis","NA","bmo","--","0.48","--","--","0.00%","", 21/07/2023
"CCBC","Chino Commercial Bancorp","NA","--","--","0.39","--","--","0.00%","", 21/07/2023
