"ADBE","Adobe","236,037","amc","4,854.99","4,890.00","+35.01 ","+0.72% ","-4.21%","", 14/09/2023
"EGAN","eGain","198","amc","23.72","24.64","+0.92 ","+3.88% ","-7.79%","", 14/09/2023
"LEN","Lennar","31,320","amc","8,525.15","8,729.60","+204.45 ","+2.40% ","-2.50%","", 14/09/2023
"MITK","Mitek Systems","491","amc","--","45.31","--","--","-8.24%","", 14/09/2023
"CPRT","Copart","41,865","amc","950.04","997.59","+47.55 ","+5.01% ","-2.16%","", 14/09/2023
"DLNG","Dynagas LNG Partners","95","amc","33.68","37.65","+3.97 ","+11.79% ","-3.23%","", 14/09/2023
"LEN.B","Lennar","28,889","amc","--","8,729.60","--","--","-3.47%","", 14/09/2023
"MYTE","MYT Netherlands Parent","284","bmo","212.76","221.81","+9.05 ","+4.25% ","10.40%","", 14/09/2023
"HITI","High Tide","127","amc","89.14","93.17","+4.03 ","+4.52% ","-13.78%","", 14/09/2023
"FEIM","Frequency Electronics","65","amc","--","12.41","--","--","8.52%","", 14/09/2023
"PPIH","MFRI","64","amc","--","35.14","--","--","-1.17%","", 14/09/2023
"RSKIA","RISKGEORGE IN","57","--","--","4.73","--","--","0.00%","", 14/09/2023
"LPTH","LightPath Technologies","54","amc","9.12","9.69","+0.57 ","+6.25% ","-4.57%","", 14/09/2023
"BUKS","Butler National","52","--","--","17.19","--","--","-11.45%","", 14/09/2023
"RZLT","Rezolute","41","amc","--","0.00","--","--","0.00%","", 14/09/2023
"IPA","ImmunoPrecise Antibodies","41","bmo","3.98","4.26","+0.28 ","+7.04% ","-0.99%","", 14/09/2023
"RFIL","RF Industries","30","amc","21.45","15.65","-5.80 ","-27.04% ","-21.89%","", 14/09/2023
"USAU","US Gold Corp","29","--","--","0.00","--","--","2.27%","", 14/09/2023
"IPW","iPower","23","amc","21.50","23.40","+1.90 ","+8.84% ","14.29%","", 14/09/2023
"PBSV","PharmaBio Serv","23","amc","5.40","4.58","-0.82 ","-15.19% ","8.70%","", 14/09/2023
"IHT","InnSuites Hospitality Trust","12","amc","--","1.72","--","--","-0.99%","", 14/09/2023
"GDSI","Global Digital Solutions","8","bmo","--","0.00","--","--","14.29%","", 14/09/2023
"HSCS","Heart Test Laboratories, Inc.","5","amc","--","0.00","--","--","3.88%","", 14/09/2023
"NCPL","Netcapital Inc.","4","amc","--","1.52","--","--","-8.21%","", 14/09/2023
"SVBL","Silver Bull Resources","3","bmo","--","0.00","--","--","0.00%","", 14/09/2023
"SUHJY","Sun Hung Kai Properties","NA","--","--","--","--","--","--","", 14/09/2023
"JVA","Coffee Holding Co.","NA","amc","--","15.76","--","--","-14.40%","", 14/09/2023
