"T","AT&T","104,733","bmo","0.60","0.63","+0.03 ","+5.00% ","0.61%","", 26/07/2023
"BA","Boeing","112,336","bmo","-0.99","-0.82","+0.17 ","+17.17% ","8.72%","", 26/07/2023
"TLRY","Tilray Brands","1,561","bmo","-0.04","0.00","+0.04 ","+100.00% ","14.88%","", 26/07/2023
"KO","Coca-Cola","238,012","bmo","0.72","0.78","+0.06 ","+8.33% ","1.29%","", 26/07/2023
"LRCX","Lam Research","83,615","amc","5.03","5.98","+0.95 ","+18.89% ","9.28%","", 26/07/2023
"ALGN","Align Technology","22,325","amc","2.02","2.22","+0.20 ","+9.90% ","13.38%","", 26/07/2023
"URI","United Rentals","28,962","amc","9.23","9.88","+0.65 ","+7.04% ","-0.87%","", 26/07/2023
"AMED","Amedisys","3,033","amc","1.07","1.37","+0.30 ","+28.04% ","0.73%","", 26/07/2023
"MOH","Molina Healthcare","19,122","amc","5.05","5.65","+0.60 ","+11.88% ","-1.23%","", 26/07/2023
"NLY","Annaly Capital Management","8,634","amc","0.69","0.72","+0.03 ","+4.35% ","-3.51%","", 26/07/2023
"GSK","GSK PLC Sponsored ADR","73,874","bmo","0.85","0.97","+0.12 ","+14.12% ","0.48%","", 26/07/2023
"UNP","Union Pacific","123,275","bmo","2.75","2.57","-0.18 ","-6.55% ","10.42%","", 26/07/2023
"NOW","ServiceNow","111,780","amc","2.05","2.37","+0.32 ","+15.61% ","-3.01%","", 26/07/2023
"NOA","North American Construction Group","574","amc","0.30","0.35","+0.05 ","+16.67% ","31.62%","", 26/07/2023
"STX","Seagate Technology","13,712","amc","-0.23","-0.18","+0.05 ","+21.74% ","7.21%","", 26/07/2023
"LADR","Ladder Capital Corp","1,230","amc","0.31","0.33","+0.02 ","+6.45% ","-3.75%","", 26/07/2023
"CME","CME Group","73,115","bmo","2.18","2.30","+0.12 ","+5.50% ","3.94%","", 26/07/2023
"TMO","Thermo Fisher Scientific","193,920","bmo","5.43","5.15","-0.28 ","-5.16% ","0.61%","", 26/07/2023
"MEOH","Methanex","2,882","amc","0.55","0.60","+0.05 ","+9.09% ","-4.30%","", 26/07/2023
"GD","General Dynamics","59,886","bmo","2.59","2.70","+0.11 ","+4.25% ","2.19%","", 26/07/2023
"EBAY","eBay","22,851","amc","0.99","1.03","+0.04 ","+4.04% ","-10.53%","", 26/07/2023
"ORLY","O'Reilly Automotive","54,064","amc","10.05","10.22","+0.17 ","+1.69% ","--","", 26/07/2023
"ARR","ARMOUR Residential REIT","855","amc","1.30","1.15","-0.15 ","-11.54% ","0.00%","", 26/07/2023
"AWK","American Water Works","23,234","amc","1.27","1.44","+0.17 ","+13.39% ","0.48%","", 26/07/2023
"ADP","Automatic Data Processing","100,513","bmo","1.83","1.89","+0.06 ","+3.28% ","5.39%","", 26/07/2023
"EQNR","Equinor","96,125","bmo","0.82","0.74","-0.08 ","-9.76% ","-2.64%","", 26/07/2023
