"AZZ","AZZ","1,102","amc","--","390.87","--","--","--","", 07/07/2023
"KALV","KalVista Pharmaceuticals","311","bmo","--","0.00","--","--","14.97%","", 07/07/2023
"IGC","IGC Pharma, Inc.","19","bmo","--","0.17","--","--","5.00%","", 07/07/2023
"LEAI","Legacy Education Alliance","10","--","--","0.07","--","--","4.76%","", 07/07/2023
"IVDN","Innovative Designs","10","--","--","0.03","--","--","1.25%","", 07/07/2023
"LEDS","SemiLEDS","9","bmo","--","1.68","--","--","-1.27%","", 07/07/2023
"YASKY","Yaskawa Electric","NA","bmo","--","1,057.45","--","--","1.04%","", 07/07/2023
