"MRVL","Marvell Technology","45,996","amc","1,330.77","1,340.90","+10.13 ","+0.76% ","-6.62%","", 24/08/2023
"ULTA","Ulta Beauty","19,490","amc","2,508.04","2,529.81","+21.77 ","+0.87% ","-3.69%","", 24/08/2023
"WDAY","Workday","54,855","amc","1,773.35","1,786.77","+13.42 ","+0.76% ","5.38%","", 24/08/2023
"JWN","Nordstrom","2,377","amc","3,665.07","3,772.00","+106.93 ","+2.92% ","-7.73%","", 24/08/2023
"WB","Weibo","2,855","bmo","431.63","440.24","+8.61 ","+1.99% ","3.16%","", 24/08/2023
"DLTR","Dollar Tree","23,050","bmo","7,221.72","7,325.30","+103.58 ","+1.43% ","-12.90%","", 24/08/2023
"BURL","Burlington Stores","8,239","bmo","2,171.66","2,174.81","+3.15 ","+0.15% ","-8.88%","", 24/08/2023
"TD","The Toronto Dominion Bank","104,735","bmo","8,997.66","9,514.30","+516.64 ","+5.74% ","-3.45%","", 24/08/2023
"INTU","Intuit","145,044","amc","2,641.17","2,712.00","+70.83 ","+2.68% ","4.12%","", 24/08/2023
"FRO","FRONTLINE PLC","3,865","bmo","353.46","365.54","+12.08 ","+3.42% ","1.01%","", 24/08/2023
"RY","Royal Bank Of Canada","116,548","bmo","9,537.86","10,858.71","+1,320.85 ","+13.85% ","1.63%","", 24/08/2023
"NTES","NetEase","64,933","bmo","3,473.10","3,311.31","-161.79 ","-4.66% ","-3.95%","", 24/08/2023
"NM","Navios Maritime","43","bmo","--","81.90","--","--","0.00%","", 24/08/2023
"GPS","The Gap","3,828","amc","3,596.96","3,548.00","-48.96 ","-1.36% ","7.24%","", 24/08/2023
"DOMO","Domo","340","amc","79.02","79.67","+0.65 ","+0.82% ","-35.80%","", 24/08/2023
"SN","SharkNinja, Inc.","6,264","bmo","--","950.31","--","--","11.39%","", 24/08/2023
"MOV","Movado Group","625","bmo","--","160.39","--","--","0.50%","", 24/08/2023
"PAGS","PagSeguro Digital","2,795","--","689.40","772.83","+83.43 ","+12.10% ","7.47%","", 24/08/2023
"HTHT","H World Group Limited Sponsored ADR","12,236","bmo","788.64","762.00","-26.64 ","-3.38% ","-5.41%","", 24/08/2023
"ASNS","Actelis Networks","3","--","--","1.90","--","--","-8.86%","", 24/08/2023
"CHCJY","China CITIC Bank","22,694","bmo","--","7,797.22","--","--","-5.20%","", 24/08/2023
"FUTU","Futu Holdings","8,191","bmo","--","317.10","--","--","1.23%","", 24/08/2023
"AFRM","Affirm","5,357","amc","404.21","445.83","+41.62 ","+10.30% ","28.82%","", 24/08/2023
"CRDO","Credo Technology Group","2,391","amc","34.00","35.10","+1.10 ","+3.24% ","5.17%","", 24/08/2023
"OSIS","OSI Systems","1,986","bmo","384.46","411.87","+27.41 ","+7.13% ","13.75%","", 24/08/2023
"WOOF","Petco Health and Wellness Co.","1,152","bmo","1,516.07","1,530.73","+14.66 ","+0.97% ","-20.64%","", 24/08/2023
"HAIN","The Hain Celestial Group","909","bmo","440.58","447.84","+7.26 ","+1.65% ","-1.15%","", 24/08/2023
"OPRA","Opera Limited","766","bmo","95.10","94.13","-0.97 ","-1.02% ","-15.31%","", 24/08/2023
"PGRU","PropertyGuru Group","588","bmo","--","27.54","--","--","-1.46%","", 24/08/2023
"DAO","Youdao","505","bmo","--","166.40","--","--","-2.39%","", 24/08/2023
"HEPS","DMARKET Electronic Services...","412","bmo","--","284.78","--","--","1.33%","", 24/08/2023
"BBW","BuildABear Workshop","412","bmo","101.89","109.23","+7.34 ","+7.20% ","6.52%","", 24/08/2023
"AMSWA","American Software","384","amc","29.07","29.17","+0.10 ","+0.34% ","10.53%","", 24/08/2023
"DXLG","Destination XL Group","266","bmo","--","140.04","--","--","1.43%","", 24/08/2023
"EDAP","EDAP TMS","260","bmo","17.36","15.52","-1.84 ","-10.60% ","-0.12%","", 24/08/2023
"NEWP","New Pacific Metals","253","amc","--","0.00","--","--","-0.81%","", 24/08/2023
"YI","111 Inc.","212","bmo","--","479.57","--","--","-5.32%","", 24/08/2023
"VIOT","Viomi Technology Co.","62","bmo","--","--","--","--","--","", 24/08/2023
"LMDX","CA Healthcare Acquisition","62","bmo","21.07","21.00","-0.07 ","-0.33% ","-1.72%","", 24/08/2023
"DGNOF","DIAGNOS","28","--","--","0.03","--","--","0.00%","", 24/08/2023
"KOSS","Koss","27","amc","--","3.10","--","--","-0.57%","", 24/08/2023
"BZAMF","BZAM Ltd.","17","bmo","17.46","14.36","-3.10 ","-17.75% ","-14.04%","", 24/08/2023
"ALAR","ALARUM TEC LTD","15","bmo","6.40","6.99","+0.59 ","+9.22% ","-5.47%","", 24/08/2023
"YJ","Yunji","14","bmo","--","23.05","--","--","-15.63%","", 24/08/2023
"PRVCF","PreveCeutical Medical","10","amc","--","0.00","--","--","0.00%","", 24/08/2023
"AUUD","Auddia","6","amc","--","0.00","--","--","1.19%","", 24/08/2023
"CRKN","Crown Electrokinetics","1","--","--","0.04","--","--","-0.53%","", 24/08/2023
"INBS","INTLGNT BIO SOL","1","bmo","0.49","0.44","-0.05 ","-10.20% ","1.10%","", 24/08/2023
"CLGN","CollPlant Biotechnologies","NA","bmo","0.26","10.18","+9.92 ","+3,815.38% ","6.87%","", 24/08/2023
"TILCF","Till Capital","NA","--","--","-0.22","--","--","0.00%","", 24/08/2023
