"WMT","Walmart","433,342","bmo","159,821.40","161,632.00","+1,810.60 ","+1.13% ","-2.24%","", 17/08/2023
"AMAT","Applied Materials","116,947","amc","6,155.27","6,425.00","+269.73 ","+4.38% ","3.68%","", 17/08/2023
"LITE","Lumentum","2,886","bmo","368.16","370.80","+2.64 ","+0.72% ","-1.30%","", 17/08/2023
"ROST","Ross Stores","38,150","amc","4,744.78","4,934.91","+190.13 ","+4.01% ","5.01%","", 17/08/2023
"KEYS","Keysight Technologies","23,150","amc","1,381.90","1,382.00","+0.10 ","+0.01% ","-13.78%","", 17/08/2023
"PLCE","The Childrens Place","294","bmo","341.58","345.60","+4.02 ","+1.18% ","6.60%","", 17/08/2023
"BILI","Bilibili","5,472","bmo","733.51","757.02","+23.51 ","+3.21% ","0.72%","", 17/08/2023
"NICE","Nice","10,816","bmo","578.40","581.11","+2.71 ","+0.47% ","-7.65%","", 17/08/2023
"AEG","Aegon","12,573","--","--","0.00","--","--","1.65%","", 17/08/2023
"TPR","Tapestry","6,332","bmo","1,666.84","1,619.50","-47.34 ","-2.84% ","0.79%","", 17/08/2023
"SFL","SFL","1,476","bmo","--","164.56","--","--","2.18%","", 17/08/2023
"LNVGY","Lenovo Group","12,322","bmo","--","12,900.00","--","--","-2.54%","", 17/08/2023
"GLOB","Globant","8,366","amc","496.47","497.53","+1.06 ","+0.21% ","7.93%","", 17/08/2023
"ARCO","Arcos Dorados","1,862","bmo","1,033.28","1,034.40","+1.12 ","+0.11% ","-6.79%","", 17/08/2023
"YRD","Yirendai","221","bmo","--","182.62","--","--","4.66%","", 17/08/2023
"CEO","CNOOC","NA","bmo","--","13,466.06","--","--","0.00%","", 17/08/2023
"NEPT","Neptune Wellness Solutions","1","bmo","10.65","10.63","-0.02 ","-0.19% ","4.08%","", 17/08/2023
"BILL","BILL Holdings, Inc.","11,150","amc","279.58","295.98","+16.40 ","+5.87% ","9.27%","", 17/08/2023
"MSGS","The Madison Square Garden Company","4,160","bmo","127.79","126.92","-0.87 ","-0.68% ","-10.02%","", 17/08/2023
"ATAT","Atour Lifestyle Holdings Limited...","2,381","bmo","--","150.69","--","--","5.97%","", 17/08/2023
"ZLDPF","Zealand Pharma AS","2,276","bmo","1.32","1.52","+0.20 ","+15.15% ","-0.45%","", 17/08/2023
"CAAP","Corporacion America Airports","2,106","amc","--","422.70","--","--","7.61%","", 17/08/2023
"TRMD","TORM","2,105","bmo","--","384.30","--","--","-1.05%","", 17/08/2023
"SGHC","Super Group (SGHC)","1,772","bmo","363.21","414.52","+51.31 ","+14.13% ","16.38%","", 17/08/2023
"CVAC","CureVac","1,386","bmo","14.89","8.25","-6.64 ","-44.59% ","5.41%","", 17/08/2023
"AGRO","Adecoagro","1,219","amc","--","402.87","--","--","10.19%","", 17/08/2023
"FORTY","Formula Systems 1985","1,127","bmo","--","655.37","--","--","0.71%","", 17/08/2023
"BORR","Borr Drilling","1,028","bmo","--","187.50","--","--","-3.52%","", 17/08/2023
"EH","Ehang Holdings","992","bmo","--","1.38","--","--","-4.71%","", 17/08/2023
"SPTN","SpartanNash","804","bmo","2,357.06","2,312.39","-44.67 ","-1.90% ","1.88%","", 17/08/2023
"FTCH","Farfetch Limited","754","amc","657.89","572.09","-85.80 ","-13.04% ","-45.17%","", 17/08/2023
"IMTX","Immatics","741","bmo","18.97","24.33","+5.36 ","+28.26% ","1.93%","", 17/08/2023
"GAMB","Gambling.com","561","bmo","21.74","25.97","+4.23 ","+19.46% ","15.68%","", 17/08/2023
"CALT","Calliditas Therapeutics","527","bmo","28.34","25.60","-2.74 ","-9.67% ","-16.09%","", 17/08/2023
"LYTS","LSI Industries","466","bmo","119.42","123.64","+4.22 ","+3.53% ","19.67%","", 17/08/2023
"DESP","Despegar.com","447","bmo","160.50","165.52","+5.02 ","+3.13% ","-6.66%","", 17/08/2023
"NNOX","NanoX Imaging","389","bmo","--","2.58","--","--","5.09%","", 17/08/2023
"TRMR","Tremor International","247","bmo","97.85","84.25","-13.60 ","-13.90% ","-30.51%","", 17/08/2023
"GDRZF","Gold Reserve","245","--","--","0.00","--","--","2.68%","", 17/08/2023
"AYRWF","Ayr Wellness Inc.","161","bmo","121.15","116.74","-4.41 ","-3.64% ","3.62%","", 17/08/2023
"SELB","Selecta Biosciences","157","bmo","9.90","5.25","-4.65 ","-46.97% ","2.75%","", 17/08/2023
