"CSBR","Champions Oncology","85","amc","--","12.56","--","--","-1.45%","", 13/09/2023
"CBRL","Cracker Barrel Old Country Store","1,480","bmo","842.64","836.73","-5.91 ","-0.70% ","-3.03%","", 13/09/2023
"SMTC","Semtech","1,588","amc","237.06","238.37","+1.31 ","+0.55% ","10.10%","", 13/09/2023
"REVG","REV Group","948","bmo","622.92","680.00","+57.08 ","+9.16% ","8.62%","", 13/09/2023
"UROY","Uranium Royalty","290","amc","--","0.00","--","--","3.61%","", 13/09/2023
"IBEX","IBEX Limited","284","amc","126.18","124.43","-1.75 ","-1.39% ","-25.34%","", 13/09/2023
"RLGT","Radiant Logistics","272","amc","--","232.23","--","--","-9.00%","", 13/09/2023
"IREN","Iris Energy","221","amc","31.30","--","--","--","--","", 13/09/2023
"SLQT","SelectQuote","200","bmo","--","221.78","--","--","-16.18%","", 13/09/2023
"SEOVF","Sernova","179","bmo","--","0.00","--","--","9.17%","", 13/09/2023
"CTGO","Contango ORE, Inc.","170","amc","--","0.00","--","--","5.10%","", 13/09/2023
"CYDY","CytoDyn","167","bmo","--","0.00","--","--","9.25%","", 13/09/2023
"JYNT","The Joint","129","amc","29.85","29.31","-0.54 ","-1.81% ","3.64%","", 13/09/2023
"AXR","AMREP","89","amc","--","10.29","--","--","2.00%","", 13/09/2023
"RSSS","Research Solutions","70","amc","9.70","9.96","+0.26 ","+2.68% ","9.48%","", 13/09/2023
"CODA","Coda Octopus Group","67","bmo","--","4.89","--","--","-16.71%","", 13/09/2023
"STRM","Streamline Health Solutions","53","amc","--","5.77","--","--","-6.34%","", 13/09/2023
"DSHK","Drive Shack","23","amc","--","98.12","--","--","39.23%","", 13/09/2023
"ALZN","Alzamend Neuro","22","bmo","--","0.00","--","--","2.99%","", 13/09/2023
"OPTT","Ocean Power Technologies","21","amc","--","1.27","--","--","3.11%","", 13/09/2023
"MIND","MIND Technology","7","amc","--","8.75","--","--","1.29%","", 13/09/2023
"ARDS","Aridis Pharmaceuticals","4","bmo","--","19.65","--","--","-1.21%","", 13/09/2023
"CMND","Clearmind Medicine Inc.","1","--","--","0.00","--","--","-2.41%","", 13/09/2023
"BUR","Burford Capital","NA","bmo","134.00","44.55","-89.45 ","-66.75% ","-1.55%","", 13/09/2023
"MSB","Mesabi Trust","NA","amc","--","9.89","--","--","3.90%","", 13/09/2023
"SLNA","SELENA HOSP PLC","NA","bmo","--","52.49","--","--","3.33%","", 13/09/2023
