"CSCO","Cisco Systems","216,732","amc","1.06","1.14","+0.08 ","+7.55% ","3.34%","", 16/08/2023
"TGT","Target","49,216","bmo","1.41","1.80","+0.39 ","+27.66% ","2.96%","", 16/08/2023
"JD","JD.com","39,651","bmo","0.73","0.74","+0.01 ","+1.37% ","-3.03%","", 16/08/2023
"TCEHY","Tencent","362,472","bmo","0.52","0.55","+0.03 ","+5.77% ","-2.94%","", 16/08/2023
"TJX","The TJX Companies","100,725","bmo","0.76","0.85","+0.09 ","+11.84% ","4.13%","", 16/08/2023
"ATHX","Athersys","10","amc","--","-0.62","--","--","-7.43%","", 16/08/2023
"SNPS","Synopsys","70,167","amc","2.73","2.88","+0.15 ","+5.49% ","-0.96%","", 16/08/2023
"SQM","Sociedad Quimica y Minera","15,722","bmo","2.62","2.03","-0.59 ","-22.52% ","1.96%","", 16/08/2023
"STNE","StoneCo","3,282","amc","0.17","0.19","+0.02 ","+11.76% ","-7.57%","", 16/08/2023
"EAT","Brinker International","1,367","bmo","1.30","1.39","+0.09 ","+6.92% ","-5.53%","", 16/08/2023
"AMCR","Amcor","13,090","amc","0.18","0.19","+0.01 ","+5.56% ","1.70%","", 16/08/2023
"PFGC","Performance Food Group","8,864","bmo","1.13","1.14","+0.01 ","+0.88% ","9.10%","", 16/08/2023
"SMSEY","Samsonite International","4,986","bmo","--","0.31","--","--","-2.06%","", 16/08/2023
"AVT","Avnet","4,383","amc","1.63","2.06","+0.43 ","+26.38% ","8.08%","", 16/08/2023
"WOLF","Wolfspeed","4,355","amc","-0.20","-0.42","-0.22 ","-110.00% ","-17.06%","", 16/08/2023
"PYCR","Paycor HCM","4,123","amc","0.06","0.08","+0.02 ","+33.33% ","-4.20%","", 16/08/2023
"AVAL","Grupo Aval Acciones y Valores","2,837","bmo","0.03","0.03","0.00 ","0.00% ","1.31%","", 16/08/2023
"GNNDY","GN Store Nord","2,478","--","--","0.53","--","--","-2.75%","", 16/08/2023
"BDGSF","BGEO Group","2,061","--","--","3.54","--","--","0.00%","", 16/08/2023
"ZIM","ZIM Integrated Shipping Services","1,151","bmo","-0.87","-1.37","-0.50 ","-57.47% ","-10.27%","", 16/08/2023
"NVGS","Navigator Holdings","1,039","amc","0.25","0.25","0.00 ","0.00% ","-3.37%","", 16/08/2023
"KE","Kimball Electronics","675","amc","--","0.76","--","--","7.10%","", 16/08/2023
"CRLBF","Cresco Labs Inc.","632","amc","-0.03","-0.05","-0.02 ","-66.67% ","0.00%","", 16/08/2023
"ICG","Intchains Group Limited Unsponsored...","363","amc","--","-0.04","--","--","-1.32%","", 16/08/2023
"SLN","Silence Therapeutics","273","bmo","-0.59","-0.36","+0.23 ","+38.98% ","6.21%","", 16/08/2023
"KMDA","Kamada","236","bmo","0.02","0.04","+0.02 ","+100.00% ","3.71%","", 16/08/2023
"TWIN","Twin Disc","189","bmo","--","0.62","--","--","2.92%","", 16/08/2023
"BIVI","BioVie","133","bmo","-0.37","-0.23","+0.14 ","+37.84% ","-1.09%","", 16/08/2023
"OCFT","OneConnect Financial Technology Co.","118","bmo","--","-0.32","--","--","-2.37%","", 16/08/2023
"UCL","uCloudlink Group","77","bmo","0.02","-0.02","-0.04 ","-200.00% ","-11.33%","", 16/08/2023
"GEVI","General Enterprise Ventures, Inc.","66","amc","--","0.00","--","--","-8.65%","", 16/08/2023
"BGXX","Bright Green","66","amc","--","-0.02","--","--","-15.83%","", 16/08/2023
"STCB","Insynergy Products","66","bmo","--","-0.01","--","--","0.00%","", 16/08/2023
"BDL","Flanigan's Enterprises","60","--","--","0.86","--","--","7.63%","", 16/08/2023
"NICK","Nicholas Financial","59","amc","--","0.21","--","--","0.63%","", 16/08/2023
"CRWS","Crown Crafts","47","bmo","--","0.04","--","--","-0.55%","", 16/08/2023
"KULR","KULR Technology Group","45","amc","-0.05","-0.05","0.00 ","0.00% ","-25.93%","", 16/08/2023
"ZENV","Zenvia","40","bmo","--","-0.07","--","--","1.46%","", 16/08/2023
"MEEC","Midwest Energy Emissions","36","amc","0.01","-0.01","-0.02 ","-200.00% ","-9.43%","", 16/08/2023
"BFI","BurgerFi International","29","bmo","--","-0.19","--","--","-13.22%","", 16/08/2023
"NCNA","NuCana","29","amc","-0.16","-0.13","+0.03 ","+18.75% ","9.86%","", 16/08/2023
"OPXS","Optex Systems","26","amc","--","0.09","--","--","-3.22%","", 16/08/2023
"CVALF","Covalon Technologies","23","bmo","--","-0.02","--","--","0.00%","", 16/08/2023
"BTBD","BT Brands, Inc.","15","--","--","-0.04","--","--","0.62%","", 16/08/2023
"BGLC","BioNexus Gene Lab Corp.","13","--","--","0.00","--","--","--","", 16/08/2023
"RNXT","RenovoRx","12","bmo","-0.25","-0.22","+0.03 ","+12.00% ","6.87%","", 16/08/2023
"VVOS","Vivos Therapeutics","9","bmo","-0.15","-0.15","0.00 ","0.00% ","0.83%","", 16/08/2023
"SING","Singlepoint","8","bmo","--","0.01","--","--","26.82%","", 16/08/2023
"NRSN","NeuroSense Therapeutics","7","bmo","--","-0.44","--","--","-5.23%","", 16/08/2023
"BXRX","Baudax Bio","3","bmo","-2.04","-1.49","+0.55 ","+26.96% ","-2.63%","", 16/08/2023
"BCNN","Moqizone Holding","0","--","--","0.00","--","--","-23.33%","", 16/08/2023
"WLMSQ","Williams Industrial Services Group","0","amc","-0.12","-0.34","-0.22 ","-183.33% ","12.50%","", 16/08/2023
"MMND","Mastermind","NA","bmo","--","0.00","--","--","0.00%","", 16/08/2023
"FLNG","Flex LNG","NA","bmo","0.64","0.52","-0.12 ","-18.75% ","-3.23%","", 16/08/2023
