"CRM","Salesforce","196,420","amc","1.90","2.12","+0.22 ","+11.58% ","2.99%","", 30/08/2023
"VEEV","Veeva Systems","32,208","amc","1.12","1.21","+0.09 ","+8.04% ","8.36%","", 30/08/2023
"OKTA","Okta","12,798","amc","0.21","0.31","+0.10 ","+47.62% ","13.51%","", 30/08/2023
"FIVE","Five Below","8,914","amc","0.83","0.84","+0.01 ","+1.20% ","-6.01%","", 30/08/2023
"MCFT","MasterCraft Boat","383","bmo","1.08","1.37","+0.29 ","+26.85% ","-12.82%","", 30/08/2023
"CONN","Conn's","86","bmo","-1.48","-1.39","+0.09 ","+6.08% ","18.73%","", 30/08/2023
"PSTG","Pure Storage","10,728","amc","0.28","0.34","+0.06 ","+21.43% ","0.30%","", 30/08/2023
"KNOP","KNOT Offshore Partners","204","amc","-0.04","0.27","+0.31 ","+775.00% ","6.18%","", 30/08/2023
"BF.B","BrownForman","27,675","bmo","0.52","0.48","-0.04 ","-7.69% ","-3.98%","", 30/08/2023
"PDCO","Patterson Companies","2,867","bmo","0.40","0.40","0.00 ","0.00% ","-7.77%","", 30/08/2023
"COO","The Cooper Companies","15,594","amc","3.35","3.35","0.00 ","0.00% ","-2.85%","", 30/08/2023
"IDCBY","Industrial & Commercial Bank of...","163,769","--","--","0.66","--","--","-0.84%","", 30/08/2023
"BACHY","Bank of China","99,739","bmo","--","0.64","--","--","-0.65%","", 30/08/2023
"CRWD","CrowdStrike","39,173","amc","0.56","0.74","+0.18 ","+32.14% ","9.28%","", 30/08/2023
"PUK","Prudential","29,143","bmo","--","--","--","--","--","", 30/08/2023
"BF.A","Brown Forman","27,948","bmo","--","0.48","--","--","-4.51%","", 30/08/2023
"NTIOF","National Bank of Canada","21,403","bmo","--","1.66","--","--","-3.19%","", 30/08/2023
"CHWY","Chewy","7,879","amc","0.11","0.15","+0.04 ","+36.36% ","-12.26%","", 30/08/2023
"GEF","Greif","3,097","amc","1.56","1.75","+0.19 ","+12.18% ","-1.53%","", 30/08/2023
"GEF.B","Greif Bros.","3,096","amc","--","1.75","--","--","-1.82%","", 30/08/2023
"VSCO","Victoria's Secret","1,121","amc","0.27","0.24","-0.03 ","-11.11% ","6.91%","", 30/08/2023
"REX","REX American Resources","674","bmo","0.87","0.52","-0.35 ","-40.23% ","-6.07%","", 30/08/2023
"GOTU","GSX Techedu","667","bmo","--","0.03","--","--","-7.69%","", 30/08/2023
"HOV","Hovnanian Enterprises","558","--","--","7.38","--","--","15.44%","", 30/08/2023
"LANV","Lanvin Group Holdings Limited","527","bmo","--","--","--","--","--","", 30/08/2023
"PAHC","Phibro Animal Health","510","amc","0.40","0.38","-0.02 ","-5.00% ","-5.93%","", 30/08/2023
"FANH","Fanhua","426","bmo","--","0.20","--","--","11.97%","", 30/08/2023
"VRA","Vera Bradley","207","bmo","0.12","0.33","+0.21 ","+175.00% ","2.77%","", 30/08/2023
"VBNK","VersaBank","198","bmo","0.31","0.28","-0.03 ","-9.68% ","-1.20%","", 30/08/2023
"MESO","Mesoblast Limited","192","amc","-0.16","-0.14","+0.02 ","+12.50% ","12.59%","", 30/08/2023
"WILC","G. WilliFood International","139","bmo","--","0.09","--","--","-3.85%","", 30/08/2023
"FEAM","5E Advanced Materials","99","amc","-0.18","-0.23","-0.05 ","-27.78% ","0.79%","", 30/08/2023
"BLRX","BioLineRx","89","bmo","-0.16","-0.30","-0.14 ","-87.50% ","4.51%","", 30/08/2023
"CULP","Culp","69","amc","-0.35","-0.24","+0.11 ","+31.43% ","-1.58%","", 30/08/2023
"BBBYQ","Bed Bath & Beyond","58","--","--","--","--","--","--","", 30/08/2023
"KWAC","Kingswood Acquisition","42","bmo","--","-0.12","--","--","0.00%","", 30/08/2023
"PRTG","Portage Biotech","32","bmo","-0.25","-0.33","-0.08 ","-32.00% ","-13.36%","", 30/08/2023
"HTOO","Fusion Fuel Green","11","bmo","--","--","--","--","--","", 30/08/2023
"IMRN","IMMURON","11","--","--","--","--","--","--","", 30/08/2023
"WINR","Simplicity Esports and Gaming...","0","--","--","--","--","--","--","", 30/08/2023
"ALVO","Alvotech","NA","amc","-0.14","-0.43","-0.29 ","-207.14% ","1.75%","", 30/08/2023
"WNDW","Solarwindow Technologies","NA","amc","--","-0.01","--","--","--","", 30/08/2023
