"HELE","Helen of Troy","2,537","bmo","1.62","1.94","+0.32 ","+19.75% ","2.09%","", 10/07/2023
"SAR","Saratoga Investment Corp","291","amc","0.91","1.08","+0.17 ","+18.68% ","-3.90%","", 10/07/2023
"WDFC","WD40","2,730","amc","1.22","1.38","+0.16 ","+13.11% ","18.49%","", 10/07/2023
"PSMT","PriceSmart","2,310","amc","--","1.02","--","--","0.39%","", 10/07/2023
"ETWO","E2open","1,261","amc","0.04","0.05","+0.01 ","+25.00% ","0.35%","", 10/07/2023
"VOXX","VOXX International","170","amc","--","-0.45","--","--","-15.87%","", 10/07/2023
"IPA","ImmunoPrecise Antibodies","41","bmo","-0.12","-0.15","-0.03 ","-25.00% ","-2.10%","", 10/07/2023
"CAMP","CalAmp","16","amc","0.04","-0.01","-0.05 ","-125.00% ","-11.80%","", 10/07/2023
"FRXIF","FRX Innovations, Inc.","4","amc","--","-0.09","--","--","--","", 10/07/2023
