"AZO","AutoZone","45,346","bmo","44.51","46.46","+1.95 ","+4.38% ","-1.86%","", 19/09/2023
"SCS","Steelcase","1,256","amc","0.17","0.31","+0.14 ","+82.35% ","19.30%","", 19/09/2023
"DAVA","Endava","3,209","bmo","0.56","0.71","+0.15 ","+26.79% ","10.86%","", 19/09/2023
"APOG","Apogee Enterprises","1,005","bmo","1.01","1.36","+0.35 ","+34.65% ","0.10%","", 19/09/2023
"ISPR","Ispire Technology Inc.","503","bmo","--","--","--","--","--","", 19/09/2023
"RCAT","Red Cat","52","amc","--","-0.11","--","--","-3.65%","", 19/09/2023
"SRCO","Sparta Commercial Services","2","amc","--","0.00","--","--","-0.90%","", 19/09/2023
"FLES","Auto Parts 4Less Group, Inc.","0","bmo","--","-1.10","--","--","13.24%","", 19/09/2023
