"CLF","ClevelandCliffs","7,727","amc","0.69","0.69","0.00 ","0.00% ","3.25%","", 24/07/2023
"AGNC","AGNC Investment","5,327","amc","0.58","0.67","+0.09 ","+15.52% ","1.36%","", 24/07/2023
"CSBR","Champions Oncology","85","amc","--","-0.19","--","--","0.00%","", 24/07/2023
"NUE","Nucor","39,032","amc","5.59","5.81","+0.22 ","+3.94% ","3.74%","", 24/07/2023
"NXPI","NXP Semiconductors","51,094","amc","3.27","3.43","+0.16 ","+4.89% ","4.27%","", 24/07/2023
"LOGI","Logitech International","11,086","bmo","0.47","0.65","+0.18 ","+38.30% ","2.19%","", 24/07/2023
"RRC","Range Resources","7,259","amc","0.21","0.30","+0.09 ","+42.86% ","0.33%","", 24/07/2023
"DPZ","Domino's Pizza","13,020","bmo","3.04","3.08","+0.04 ","+1.32% ","0.12%","", 24/07/2023
"MEDP","Medpace","7,386","amc","1.90","1.93","+0.03 ","+1.58% ","3.91%","", 24/07/2023
"CDNS","Cadence Design Systems","63,884","amc","1.18","1.22","+0.04 ","+3.39% ","-1.24%","", 24/07/2023
"WHR","Whirlpool","7,058","amc","3.80","4.21","+0.41 ","+10.79% ","-2.95%","", 24/07/2023
"PKG","Packaging Corporation of America","13,787","amc","1.95","2.31","+0.36 ","+18.46% ","10.08%","", 24/07/2023
"FFIV","F5","9,241","amc","2.86","3.21","+0.35 ","+12.24% ","5.84%","", 24/07/2023
"ARE","Alexandria Real Estate Equities","16,927","amc","2.20","2.24","+0.04 ","+1.82% ","0.52%","", 24/07/2023
"DX","Dynex Capital","612","bmo","--","-0.27","--","--","4.29%","", 24/07/2023
"HXL","Hexcel","5,586","amc","0.48","0.50","+0.02 ","+4.17% ","-5.44%","", 24/07/2023
"RYAAY","Ryanair","21,934","bmo","2.25","3.15","+0.90 ","+40.00% ","-9.02%","", 24/07/2023
"BRO","Brown & Brown","19,961","amc","0.59","0.68","+0.09 ","+15.25% ","2.61%","", 24/07/2023
"PHG","Koninklijke Philips","18,202","bmo","0.23","0.31","+0.08 ","+34.78% ","-6.68%","", 24/07/2023
"CCK","Crown Holdings","10,584","amc","1.65","1.68","+0.03 ","+1.82% ","6.18%","", 24/07/2023
"PAC","Grupo Aeroportuario Del Pacifico","8,268","bmo","2.87","2.87","0.00 ","0.00% ","3.07%","", 24/07/2023
"LBTYK","Liberty Global","7,477","amc","--","-1.13","--","--","-6.88%","", 24/07/2023
"ASR","Grupo Aeroportuario del Sureste","7,272","amc","5.42","4.76","-0.66 ","-12.18% ","-3.53%","", 24/07/2023
"LBTYB","Liberty Global","7,057","amc","--","-1.13","--","--","-5.33%","", 24/07/2023
"LBTYA","Liberty Global","6,895","amc","-0.24","-1.13","-0.89 ","-370.83% ","-6.86%","", 24/07/2023
"CHX","ChampionX","6,584","amc","0.45","0.49","+0.04 ","+8.89% ","-0.54%","", 24/07/2023
"SSD","Simpson Manufacturing","6,257","amc","2.13","2.50","+0.37 ","+17.37% ","6.43%","", 24/07/2023
"RLI","RLI","6,181","amc","1.20","1.16","-0.04 ","-3.33% ","-1.78%","", 24/07/2023
"ZWS","Zurn Elkay Water Solutions Cor","4,711","amc","0.22","0.24","+0.02 ","+9.09% ","7.53%","", 24/07/2023
"CADE","Cadence Bank","3,853","amc","0.67","0.64","-0.03 ","-4.48% ","-1.77%","", 24/07/2023
"NWE","NorthWestern","2,940","amc","0.51","0.35","-0.16 ","-31.37% ","-2.88%","", 24/07/2023
"CATY","Cathay General Bancorp","2,442","amc","1.17","1.28","+0.11 ","+9.40% ","3.20%","", 24/07/2023
"WSFS","WSFS","2,199","amc","1.10","1.16","+0.06 ","+5.45% ","-3.91%","", 24/07/2023
"BOH","Bank of Hawaii","1,878","bmo","1.11","1.12","+0.01 ","+0.90% ","6.56%","", 24/07/2023
"AGYS","Agilysys","1,702","amc","0.11","0.18","+0.07 ","+63.64% ","1.86%","", 24/07/2023
"NXGN","NextGen Healthcare","1,593","amc","0.21","0.24","+0.03 ","+14.29% ","-2.24%","", 24/07/2023
"IBTX","Independent Bank Group","1,575","amc","0.90","0.82","-0.08 ","-8.89% ","-1.02%","", 24/07/2023
"PRK","Park National","1,529","amc","2.01","1.95","-0.06 ","-2.99% ","-4.98%","", 24/07/2023
"EFSC","Enterprise Financial Services","1,381","amc","1.29","1.29","0.00 ","0.00% ","-5.53%","", 24/07/2023
"NWBI","Northwest Bancshares","1,308","bmo","0.27","0.27","0.00 ","0.00% ","2.31%","", 24/07/2023
"HOPE","Hope Bancorp","1,032","bmo","0.30","0.32","+0.02 ","+6.67% ","4.40%","", 24/07/2023
"KREF","KKR Real Estate Finance Trust","750","amc","0.28","0.48","+0.20 ","+71.43% ","-2.75%","", 24/07/2023
"HSTM","HealthStream","676","amc","0.09","0.13","+0.04 ","+44.44% ","-1.21%","", 24/07/2023
"VLRS","Controladora Vuela Compania de...","592","bmo","0.24","0.05","-0.19 ","-79.17% ","3.98%","", 24/07/2023
"APLD","Applied Digital Corporation","582","bmo","-0.05","-0.07","-0.02 ","-40.00% ","13.73%","", 24/07/2023
"HBT","HBT Financial","572","bmo","0.60","0.58","-0.02 ","-3.33% ","-1.85%","", 24/07/2023
"TRST","TrustCo Bank Corp NY","513","amc","0.85","0.86","+0.01 ","+1.18% ","-3.94%","", 24/07/2023
"RGP","Resources Connection","488","amc","0.24","0.44","+0.20 ","+83.33% ","1.95%","", 24/07/2023
"TBI","TrueBlue","462","amc","--","0.17","--","--","-18.43%","", 24/07/2023
"SMBC","Southern Missouri Bancorp","447","amc","1.08","1.43","+0.35 ","+32.41% ","7.15%","", 24/07/2023
"WASH","Washington Trust Bancorp","436","amc","0.58","0.66","+0.08 ","+13.79% ","-3.17%","", 24/07/2023
"GCBC","Greene County Bancorp","420","--","--","0.38","--","--","-0.63%","", 24/07/2023
"SMBK","SmartFinancial","360","amc","0.54","0.52","-0.02 ","-3.70% ","-2.07%","", 24/07/2023
"FSBC","Five Star Bancorp","339","amc","0.67","0.74","+0.07 ","+10.45% ","2.39%","", 24/07/2023
"AROW","Arrow Financial","292","bmo","--","0.50","--","--","-0.56%","", 24/07/2023
"BMRC","Bank of Marin Bancorp","291","bmo","0.45","0.28","-0.17 ","-37.78% ","3.67%","", 24/07/2023
"BSRR","Sierra Bancorp","281","bmo","0.60","0.67","+0.07 ","+11.67% ","6.79%","", 24/07/2023
"RBB","RBB Bancorp","234","amc","0.55","0.58","+0.03 ","+5.45% ","1.67%","", 24/07/2023
